"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.38747276458","175.334901401951","168.770831965808","163.293105588603","164.569153093089","145.073177713897","139.045679371545","134.302158273381","133.969043670536","133.642516921534","146.500479386385","143.963133640553","142.960905789361","145.889295889296","140.062597809077","138.607151203552","151.599474145486","147.674674895305","151.114477385847","149.609951507485","145.24699045247","144.470240607851","146.048820852296","",
"Afghanistan","AFG","Trade (% of GDP)","NE.TRD.GNFS.ZS","11.157026581176","12.5506095641626","14.2276444262674","26.0355114281704","26.9444479475307","32.6710826152849","27.1428573129252","20.9827354616946","24.110033071763","25.0788642331499","21.7281100678648","27.0631374536424","32.8690810352185","27.6923087928995","28.8659801551706","26.9483576711852","28.0869566604915","26.4860798295929","24.7138040330125","","","","","","","","","","","","","","","","","","","","","","","","103.10920283776","116.36254161986","91.5855106689597","99.2229940825081","99.822209700771","81.3934554182836","100.069957848297","89.3648737730075","81.3244846219533","88.7796609855522","81.5868017044665","74.7439088952975","67.1959247512852","55.1255265979591","47.6590554256105","51.2368807956764","",
"Angola","AGO","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152.547109454858","150.335794690093","105.301742600149","103.901226814412","103.579924362095","106.590962129525","94.6251593320477","108.060067893978","121.36470790564","122.446142343383","104.123629958616","99.9825078539528","91.8000986062228","86.8119307835057","79.3329275089076","62.8885207849744","53.3701552785783","52.2568214486025","",
"Albania","ALB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","47.4940925041872","46.1004662837047","44.8105616083383","40.4106676033234","38.1156830212927","35.9348239721958","31.6373048780561","32.159563916938","36.89787073527","40.066086463479","39.4369634031142","36.0705200632829","108.785472241159","80.518332770413","53.1025847356112","47.6105948729712","44.8954566797963","45.4256256715481","48.1374464723735","51.0110596626645","63.4542367402968","66.4910222575601","68.5251615904497","67.020589077195","67.0471059680935","70.8723231484164","74.2671028433602","83.2020407486888","77.451706154296","75.0949353810003","76.5434459058843","81.2185535558317","76.510172860218","75.8737619930477","75.4078140621585","71.8010161004583","74.669259671744","78.0814560759772","",
"Andorra","AND","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","58.864435838495","59.2257160822237","62.0340004392927","81.0145578745333","73.8799192302813","81.8074932661631","76.1125664489045","80.2979427241516","77.8196110466383","80.1689560148461","84.7907747260973","86.42281047328","82.0010485256787","74.4009484228432","70.9831263693297","64.0306298140344","56.5112091550972","58.9102622084756","60.635010663282","65.8782206831157","66.1064304049498","69.0229353530599","64.2246141736521","60.4374462704746","58.9136611063697","61.7774687020059","61.4440704876941","68.1891777485459","66.292930275873","66.3398750080285","70.7262430830547","72.3694749150028","73.6993119350329","79.9791654411759","85.1345544122058","89.2012528463872","89.7001066351067","93.5863017870139","98.0216294406572","89.9804817760396","88.6914575159862","92.3531223695934","94.282787482236","94.3306939246361","93.1128009119427","88.8226823804905","82.6251569844471","84.1811709739184","",
"United Arab Emirates","ARE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8645799289427","93.0716588147781","102.300169490783","116.622673310185","119.55312400123","119.470702677257","136.798152865771","148.513544025723","153.461944358373","141.309041911441","151.798270101202","165.143012494148","165.541192319236","168.050233667743","175.221307567909","176.747648042171","172.810526922642","",
"Argentina","ARG","Trade (% of GDP)","NE.TRD.GNFS.ZS","15.2080960873797","11.9898923109727","14.0755256495637","15.7809062353749","11.1274296795488","10.3764574099485","11.6426054171411","12.492660372918","11.8881648852942","12.7974266330598","10.3374440809233","12.6151889155439","14.0356431972715","13.3221685115576","13.1915798576321","11.8027242947756","15.0968846246649","16.9422865680472","14.3237963724531","12.8406846410014","11.5456724604615","14.2929774789475","15.6114860999886","14.9876701068591","12.3463814292217","18.009425070688","14.4860327921395","15.448969882952","15.743458608705","19.6377977018838","14.9908589999441","13.7530541588892","14.730980586353","16.2231514477839","18.1343458669981","19.7714230903755","21.5064684057215","23.3361788437439","23.3500279730689","21.3827449624898","22.6224447777343","21.8522554515453","41.7527243585642","40.6447480311085","40.692646108947","40.5512709706238","40.4334798719151","40.945170618571","40.4026733790382","34.0571269054879","34.9710132635696","35.2061549999644","30.5265423717108","29.3339290021037","28.4067936452275","22.4862260889792","26.1219138061676","25.0208364920701","",
"Armenia","ARM","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.3357185450209","100.865855188857","101.076759405526","107.973146280234","112.429364602262","86.1148570667578","79.2295601199241","78.5477450545048","71.8424518815414","70.5604791440404","73.9185192676351","71.6171966314838","75.9434489538388","82.1876711722522","75.0372101843166","72.0389566828983","62.6091930629355","58.3364456815795","55.7028649181459","58.4788698681044","66.1473098093357","71.1108704159213","75.9667433930304","76.5561957927212","75.6116848388122","71.5932653468932","75.9178800280663","86.8680941833861","",
"American Samoa","ASM","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209.533073929961","205.692599620493","200.5859375","221.073558648111","227.620967741935","216.538461538462","247.779751332149","160.176991150442","156.423611111111","155.749128919861","174.689440993789","171.294851794072","171.695178849145","163.993948562784","162.480857580398","150.157728706625","",
"Antigua and Barbuda","ATG","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","85.6332166076156","101.915833065085","132.967334810802","128.948074192257","142.106417637802","146.839641136599","115.974521767057","133.021881885389","140.65912372213","171.930627179148","157.226913868377","137.80078694211","143.540480568302","149.272131820549","151.074061009065","158.973001813276","156.544808743493","145.629803993823","145.602181833913","137.264765867959","135.403260832952","131.319410805354","130.795259399658","116.281790623437","116.380690044774","110.764541209897","116.566020522206","122.481460918338","120.133080374279","118.11379194986","115.423208721794","115.283598924559","103.581581211981","104.364083222113","103.24685949922","102.798764011477","106.154980783946","104.527877082213","93.6295425365057","88.4585435805627","","",
"Australia","AUS","Trade (% of GDP)","NE.TRD.GNFS.ZS","27.0561987457791","27.4281805745554","26.5739385065886","26.8399395801865","28.7027434712925","28.4875183553598","28.0626078383042","26.7772249861802","26.7832647462277","25.2890085020491","26.1983605667445","25.5979555379119","24.7993164391878","25.1754297778225","26.3687206465639","29.0170225327167","26.9068534964489","28.6767308693389","28.2220929899993","29.6723966328717","32.3521095319592","31.6564215509023","30.3747792903116","29.2221458410449","28.5892417672565","32.5696528531597","33.0998827621995","32.5883246580953","32.62889493928","32.1250190428519","32.213926037422","32.2507653079686","33.1103425583339","35.468279172155","36.5273048168299","37.8015516603413","38.3323319414935","38.0748112251054","40.0704305582242","39.1561162373084","41.0476364852412","44.3840934437813","41.5743630486655","40.3128544092887","37.1562923222683","39.3146159122681","41.6339348752007","42.107552446908","42.9277976282111","45.8649831280567","40.7163844539093","41.9779397674618","43.2870791020844","41.2735790627962","42.5798482995107","41.5473873260458","40.7714731948103","41.8929700625283","",
"Austria","AUT","Trade (% of GDP)","NE.TRD.GNFS.ZS","46.5097584886874","44.9072370695355","45.6180901534569","46.2846929359315","46.9855812470221","48.2393149536368","48.9255425298678","48.3085412151414","49.013881174705","52.7252596626323","54.86039174788","54.3804711459358","54.2960192212936","54.4568199360651","59.5677317780406","56.5991341566834","59.9162816321086","60.2775956821567","59.6679877608595","63.3172191333532","66.8250060486283","68.396550301208","64.1171139234959","62.4721849872476","66.5750060351522","70.0831614762495","64.014597212162","62.8537227269269","66.562550344062","70.5383587945509","71.4883694819226","70.0484058928522","67.6301674653756","63.2650504915528","65.9870933378821","68.25660110272","70.0836711206827","74.8676902155828","76.9271493915785","78.2601403439716","85.3604956179232","87.5366647639352","86.9481679996606","86.3873824162825","90.7923456929297","94.0338056833054","98.0883112053436","100.733254061926","102.073682731706","87.0622309742796","99.0197962369563","105.102788629725","105.152177427838","104.066414086373","103.528973020149","102.136010417855","101.167012721198","104.707771937866","",
"Azerbaijan","AZE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.2","92.84","141.389583333333","133.490445859873","55.3493194555644","85.8937107507732","80.8497401741931","82.0789665326283","77.2278091030634","69.8259648751026","78.5485682796041","78.8151854917601","92.8164948453608","107.551948506262","121.507115894117","115.841884607706","105.262399846369","96.6418081486575","89.2428968637573","74.7440416836369","74.9859884610856","80.5080450059522","78.263069540422","74.6758447629851","69.4832251953347","72.6015079073189","90.0773187345677","90.6635906985233","",
"Burundi","BDI","Trade (% of GDP)","NE.TRD.GNFS.ZS","25.8928574435131","27.5862079836929","29.5081958920413","21.8045114655597","26.1744966082609","22.8822529667839","23.7683401950761","22.6863662585732","23.662507797879","21.7532896713333","22.3097965544679","22.6074300410872","26.8094131157561","24.3489043362581","25.2873351845382","27.2774163190328","30.379360630475","34.8870291528506","31.9340935865245","36.8847861616734","32.1014455985716","31.1810462057784","37.1194209891435","33.7933398239583","35.056316693605","31.8135215539913","34.0388589004453","35.4835346628137","38.5439533047301","32.6893093927341","35.6481395516768","38.4225604772107","38.2261314127976","36.5429966027968","38.753523581475","40.2046264145201","21.5737222729","24.2753792298716","27.4400299850075","23.5397452788757","22.5537244890286","20.9640456147222","21.6738294069666","27.3763120796107","31.5761181816532","35.1","42.4","38.7999987731993","47.1999995814015","35.8000035591914","39.5000053977394","43.0000028373483","43.6999890071038","46.6000131147541","43.0000102747934","22.8507110854907","23.0561784121918","","",
"Belgium","BEL","Trade (% of GDP)","NE.TRD.GNFS.ZS","76.3013658733824","78.8184721341105","81.1576432460471","84.3825837561852","85.3268781038424","83.9900692062356","88.0357457342498","84.9542938596995","89.2725658349821","96.4912899323802","87.0758025041546","84.9490549800667","84.5787180649479","93.4462479046126","104.495768978865","90.8501180613793","96.1032781185445","94.9763496102847","91.6365514233163","100.831741990439","102.306683920574","109.417686161341","117.06390427629","119.509460317824","127.286436050737","122.963339106446","111.494554813514","109.105628431747","115.55989903239","124.011913158749","120.56967271465","117.712773234039","114.215711339517","108.201663534969","112.388936950299","115.511365408443","118.060093802792","124.366693263271","123.484495687655","123.99724026107","141.079071496619","138.694465221206","135.124884981773","131.990312645394","136.037833248748","143.376220942029","147.693901435153","151.163621858795","158.908045084263","136.356757863313","151.100176526737","162.753665660528","163.994977033554","162.218643125169","164.710002339658","160.229325319499","164.544702629143","169.402711456732","",
